,model_name,use_mcp,add_pseudocode,n_disks,ith_try,has_structured_response,valid_solution,total_moves,run_start,run_end
0,o4-mini,True,False,10,0,True,False,1023,2025-06-20 21:50:35.756374,2025-06-20 21:51:55.762086
0,o4-mini,True,False,10,1,True,False,1023,2025-06-20 21:51:55.775902,2025-06-20 21:52:33.168840
0,o4-mini,True,False,10,2,True,False,1023,2025-06-20 21:52:33.176836,2025-06-20 21:53:04.996681
0,o4-mini,True,False,10,3,True,False,1023,2025-06-20 21:53:05.004017,2025-06-20 21:54:32.065392
0,o4-mini,True,False,10,4,True,False,1023,2025-06-20 21:54:32.071766,2025-06-20 21:55:58.105899
0,o4-mini,True,False,10,5,True,False,1023,2025-06-20 21:55:58.111855,2025-06-20 21:56:48.817065
0,o4-mini,True,False,10,6,True,False,1023,2025-06-20 21:56:48.822804,2025-06-20 21:59:57.846017
0,o4-mini,True,False,10,7,True,False,1023,2025-06-20 21:59:57.853965,2025-06-20 22:03:06.296453
0,o4-mini,True,False,10,8,True,False,1023,2025-06-20 22:03:06.303355,2025-06-20 22:04:00.399983
0,o4-mini,True,False,10,9,True,False,1023,2025-06-20 22:04:00.408048,2025-06-20 22:04:47.778163
0,o4-mini,True,False,10,10,True,False,1023,2025-06-20 22:04:47.784238,2025-06-20 22:06:51.773238
0,o4-mini,True,False,10,11,True,False,1023,2025-06-20 22:06:51.777471,2025-06-20 22:08:50.732556
0,o4-mini,True,False,10,12,True,False,1023,2025-06-20 22:08:50.737417,2025-06-20 22:09:35.799110
0,o4-mini,True,False,10,13,True,False,1023,2025-06-20 22:09:35.804491,2025-06-20 22:10:05.924707
0,o4-mini,True,False,10,14,True,False,1023,2025-06-20 22:10:05.929905,2025-06-20 22:10:57.128472
0,gpt-4.1-mini,True,False,10,0,True,False,1023,2025-06-20 22:10:57.134235,2025-06-20 22:12:19.635802
0,gpt-4.1-mini,True,False,10,1,True,False,1023,2025-06-20 22:12:19.646960,2025-06-20 22:13:24.883483
0,gpt-4.1-mini,True,False,10,2,True,False,1023,2025-06-20 22:13:24.891250,2025-06-20 22:13:39.602742
0,gpt-4.1-mini,True,False,10,3,True,False,1023,2025-06-20 22:13:39.607685,2025-06-20 22:15:47.243254
0,gpt-4.1-mini,True,False,10,4,True,False,1023,2025-06-20 22:15:47.246818,2025-06-20 22:17:25.544165
0,gpt-4.1-mini,True,False,10,5,True,False,1023,2025-06-20 22:17:25.551407,2025-06-20 22:18:05.307843
0,gpt-4.1-mini,True,False,10,6,True,False,1023,2025-06-20 22:18:05.314118,2025-06-20 22:19:39.977531
0,gpt-4.1-mini,True,False,10,7,True,False,1023,2025-06-20 22:19:39.982536,2025-06-20 22:24:29.853974
0,gpt-4.1-mini,True,False,10,8,True,False,1023,2025-06-20 22:24:29.858889,2025-06-20 22:24:59.122353
0,gpt-4.1-mini,True,False,10,9,True,False,1023,2025-06-20 22:24:59.127153,2025-06-20 22:29:16.865311
0,gpt-4.1-mini,True,False,10,10,True,False,1023,2025-06-20 22:29:16.875951,2025-06-20 22:30:26.704721
0,gpt-4.1-mini,True,False,10,11,True,False,1023,2025-06-20 22:30:26.710248,2025-06-20 22:30:45.607247
0,gpt-4.1-mini,True,False,10,12,True,False,1023,2025-06-20 22:30:45.612138,2025-06-20 22:31:57.179451
0,gpt-4.1-mini,True,False,10,13,True,False,1023,2025-06-20 22:31:57.183763,2025-06-20 22:32:34.226783
0,gpt-4.1-mini,True,False,10,14,True,False,1023,2025-06-20 22:32:34.233671,2025-06-20 22:38:18.225262
0,o4-mini,True,False,8,0,True,False,255,2025-06-20 22:38:18.234593,2025-06-20 22:39:07.197933
0,o4-mini,True,False,8,1,True,False,255,2025-06-20 22:39:07.203429,2025-06-20 22:39:57.178726
0,o4-mini,True,False,8,2,True,False,255,2025-06-20 22:39:57.183870,2025-06-20 22:41:02.046852
0,o4-mini,True,False,8,3,True,False,255,2025-06-20 22:41:02.053990,2025-06-20 22:42:01.220631
0,o4-mini,True,False,8,4,True,False,255,2025-06-20 22:42:01.226565,2025-06-20 22:43:05.661085
0,o4-mini,True,False,8,5,True,False,255,2025-06-20 22:43:05.667990,2025-06-20 22:43:53.140010
0,o4-mini,True,False,8,6,True,False,255,2025-06-20 22:43:53.145436,2025-06-20 22:45:16.198377
0,o4-mini,True,False,8,7,True,False,255,2025-06-20 22:45:16.203762,2025-06-20 22:46:51.174753
0,o4-mini,True,False,8,8,True,False,255,2025-06-20 22:46:51.181165,2025-06-20 22:48:34.960735
0,o4-mini,True,False,8,9,True,False,255,2025-06-20 22:48:34.972645,2025-06-20 22:49:28.928442
0,o4-mini,True,False,8,10,True,False,255,2025-06-20 22:49:28.934205,2025-06-20 22:51:13.642131
0,o4-mini,True,False,8,11,True,False,255,2025-06-20 22:51:13.647924,2025-06-20 22:52:56.761657
0,o4-mini,True,False,8,12,True,False,255,2025-06-20 22:52:56.770712,2025-06-20 22:55:12.266810
0,o4-mini,True,False,8,13,True,False,255,2025-06-20 22:55:12.275197,2025-06-20 22:56:15.229737
0,o4-mini,True,False,8,14,True,False,255,2025-06-20 22:56:15.235990,2025-06-20 22:57:24.510846
0,gpt-4.1-mini,True,False,8,0,True,False,255,2025-06-20 22:57:24.517376,2025-06-20 22:58:07.592948
0,gpt-4.1-mini,True,False,8,1,True,False,254,2025-06-20 22:58:07.600231,2025-06-20 22:58:57.410978
